.y.	group1	group2	p	p.adj	p.format	p.signif	method	organ	var	CellType	com	label	logpadj
score	Age[60,90)	Fetal	2.35e-07	2.3e-07	2.30E-07	****	T-test	Heart	Differentiation	CycFB	Age[60,90)_Fetal	Heart | Age[60,90)_Fetal	6.63827216398241
score	Age[20,60)	Fetal	0.026557353	0.027	0.027	*	T-test	Adrenal_Gland	Differentiation	CycFB	Age[20,60)_Fetal	Adrenal_Gland | Age[20,60)_Fetal	1.56863623584101
score	Age[20,60)	Fetal	0.020831826	0.021	0.021	*	T-test	Adrenal_Gland	Differentiation	DevFB	Age[20,60)_Fetal	Adrenal_Gland | Age[20,60)_Fetal	1.67778070526608
score	Age[20,60)	Fetal	0.02532323	0.025	0.025	*	T-test	Adrenal_Gland	Differentiation	FCPC	Age[20,60)_Fetal	Adrenal_Gland | Age[20,60)_Fetal	1.60205999132796
score	Age[20,60)	Fetal	5.45e-42	5.5e-42	<2e-16	****	T-test	Adrenal_Gland	Differentiation	iCAF	Age[20,60)_Fetal	Adrenal_Gland | Age[20,60)_Fetal	41.2596373105058
score	Age[20,60)	Fetal	0.00095599	0.00096	0.00096	***	T-test	Adrenal_Gland	Differentiation	myoCAF	Age[20,60)_Fetal	Adrenal_Gland | Age[20,60)_Fetal	3.01772876696043
score	Age[60,90)	Fetal	0.005985685	0.006	0.006	**	T-test	Heart	Differentiation	myoCAF	Age[60,90)_Fetal	Heart | Age[60,90)_Fetal	2.22184874961636
score	Age[20,60)	Age[60,90)	0.044770527	0.045	0.04477	*	T-test	Intestine	Differentiation	ActFB	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	1.34678748622466
score	Age[20,60)	Fetal	0.000993956	0.002	0.00099	***	T-test	Intestine	Differentiation	ActFB	Age[20,60)_Fetal	Intestine | Age[20,60)_Fetal	2.69897000433602
score	Age[60,90)	Fetal	0.000595697	0.0018	0.0006	***	T-test	Intestine	Differentiation	ActFB	Age[60,90)_Fetal	Intestine | Age[60,90)_Fetal	2.74472749489669
score	Age[20,60)	Age[60,90)	0.464620796	0.46	0.46		T-test	Intestine	Differentiation	apCAF	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	0.337242168318426
score	Age[20,60)	Age[60,90)	0.130269641	0.26	0.13		T-test	Intestine	Differentiation	CycFB	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	0.585026652029182
score	Age[20,60)	Fetal	0.347551034	0.35	0.35		T-test	Intestine	Differentiation	CycFB	Age[20,60)_Fetal	Intestine | Age[20,60)_Fetal	0.455931955649724
score	Age[60,90)	Fetal	2.38e-29	7.2e-29	<2e-16	****	T-test	Intestine	Differentiation	CycFB	Age[60,90)_Fetal	Intestine | Age[60,90)_Fetal	28.1426675035687
score	Age[20,60)	Age[60,90)	0.041805929	0.042	0.042	*	T-test	Intestine	Differentiation	CytFB	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	1.3767507096021
score	Age[20,60)	Age[60,90)	0.013283246	0.027	0.0133	*	T-test	Intestine	Differentiation	DerFB	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	1.56863623584101
score	Age[20,60)	Fetal	0.002144968	0.0064	0.0021	**	T-test	Intestine	Differentiation	DerFB	Age[20,60)_Fetal	Intestine | Age[20,60)_Fetal	2.19382002601611
score	Age[60,90)	Fetal	0.026501549	0.027	0.0265	*	T-test	Intestine	Differentiation	DerFB	Age[60,90)_Fetal	Intestine | Age[60,90)_Fetal	1.56863623584101
score	Age[20,60)	Age[60,90)	0.447397718	0.45	0.447		T-test	Intestine	Differentiation	DevFB	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	0.346787486224656
score	Age[20,60)	Fetal	0.022865812	0.069	0.023	*	T-test	Intestine	Differentiation	DevFB	Age[20,60)_Fetal	Intestine | Age[20,60)_Fetal	1.16115090926274
score	Age[60,90)	Fetal	0.131324768	0.26	0.131		T-test	Intestine	Differentiation	DevFB	Age[60,90)_Fetal	Intestine | Age[60,90)_Fetal	0.585026652029182
score	Age[20,60)	Age[60,90)	0.299662223	0.3	0.3		T-test	Intestine	Differentiation	FCC	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	0.522878745280338
score	Age[20,60)	Age[60,90)	0.014600421	0.044	0.015	*	T-test	Intestine	Differentiation	FCPC	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	1.35654732351381
score	Age[20,60)	Fetal	0.657142209	1	0.657		T-test	Intestine	Differentiation	FCPC	Age[20,60)_Fetal	Intestine | Age[20,60)_Fetal	0
score	Age[60,90)	Fetal	0.556478768	1	0.556		T-test	Intestine	Differentiation	FCPC	Age[60,90)_Fetal	Intestine | Age[60,90)_Fetal	0
score	Age[20,60)	Age[60,90)	1.42e-88	4.3e-88	<2e-16	****	T-test	Intestine	Differentiation	iCAF	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	87.3665315444204
score	Age[20,60)	Fetal	0.065462468	0.065	0.065		T-test	Intestine	Differentiation	iCAF	Age[20,60)_Fetal	Intestine | Age[20,60)_Fetal	1.18708664335714
score	Age[60,90)	Fetal	2.61e-20	5.2e-20	<2e-16	****	T-test	Intestine	Differentiation	iCAF	Age[60,90)_Fetal	Intestine | Age[60,90)_Fetal	19.2839966563652
score	Age[20,60)	Age[60,90)	0.994074445	0.99	0.99		T-test	Intestine	Differentiation	LipFB	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	0.00436480540245009
score	Age[20,60)	Age[60,90)	0.053688855	0.054	0.054		T-test	Intestine	Differentiation	MetFB	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	1.26760624017703
score	Age[20,60)	Age[60,90)	0.467737957	0.47	0.47		T-test	Intestine	Differentiation	myoCAF	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	0.327902142064283
score	Age[20,60)	Fetal	1.14e-09	3.4e-09	1.10E-09	****	T-test	Intestine	Differentiation	myoCAF	Age[20,60)_Fetal	Intestine | Age[20,60)_Fetal	8.46852108295774
score	Age[60,90)	Fetal	6.34e-06	1.3e-05	6.30E-06	****	T-test	Intestine	Differentiation	myoCAF	Age[60,90)_Fetal	Intestine | Age[60,90)_Fetal	4.88605664769316
score	Age[20,60)	Age[60,90)	3.65e-22	3.6e-22	<2e-16	****	T-test	Intestine	Differentiation	UniFB	Age[20,60)_Age[60,90)	Intestine | Age[20,60)_Age[60,90)	21.4436974992327
score	Age[20,60)	Fetal	0.389206978	0.39	0.39		T-test	Kidney	Differentiation	ActFB	Age[20,60)_Fetal	Kidney | Age[20,60)_Fetal	0.408935392973501
score	Age[20,60)	Age[60,90)	0.543876879	1	0.54		T-test	Kidney	Differentiation	iCAF	Age[20,60)_Age[60,90)	Kidney | Age[20,60)_Age[60,90)	0
score	Age[20,60)	Fetal	0.444404502	1	0.44		T-test	Kidney	Differentiation	iCAF	Age[20,60)_Fetal	Kidney | Age[20,60)_Fetal	0
score	Age[60,90)	Fetal	0.501164016	1	0.5		T-test	Kidney	Differentiation	iCAF	Age[60,90)_Fetal	Kidney | Age[60,90)_Fetal	0
score	Age[60,90)	Fetal	0.738658366	0.74	0.74		T-test	Kidney	Differentiation	myoCAF	Age[60,90)_Fetal	Kidney | Age[60,90)_Fetal	0.130768280269024
score	Age[20,60)	Age[60,90)	0.17704536	0.18	0.18		T-test	Lung	Differentiation	ActFB	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	0.744727494896694
score	Age[20,60)	Fetal	1.36e-09	4.1e-09	1.40E-09	****	T-test	Lung	Differentiation	ActFB	Age[20,60)_Fetal	Lung | Age[20,60)_Fetal	8.38721614328026
score	Age[60,90)	Fetal	3.89e-09	7.8e-09	3.90E-09	****	T-test	Lung	Differentiation	ActFB	Age[60,90)_Fetal	Lung | Age[60,90)_Fetal	8.10790539730952
score	Age[20,60)	Age[60,90)	5.26e-34	5.3e-34	<2e-16	****	T-test	Lung	Differentiation	apCAF	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	33.2757241303992
score	Age[20,60)	Age[60,90)	3.67e-26	1.1e-25	< 2e-16	****	T-test	Lung	Differentiation	CycFB	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	24.9586073148418
score	Age[20,60)	Fetal	7.36e-15	1.5e-14	7.40E-15	****	T-test	Lung	Differentiation	CycFB	Age[20,60)_Fetal	Lung | Age[20,60)_Fetal	13.8239087409443
score	Age[60,90)	Fetal	0.470413716	0.47	0.47		T-test	Lung	Differentiation	CycFB	Age[60,90)_Fetal	Lung | Age[60,90)_Fetal	0.327902142064283
score	Age[20,60)	Age[60,90)	0.000734795	0.00073	0.00073	***	T-test	Lung	Differentiation	CytFB	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	3.13667713987954
score	Age[20,60)	Age[60,90)	0.52352325	0.52	0.52		T-test	Lung	Differentiation	DerFB	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	0.283996656365201
score	Age[20,60)	Age[60,90)	1.98e-06	2e-06	2.00E-06	****	T-test	Lung	Differentiation	DevFB	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	5.69897000433602
score	Age[20,60)	Age[60,90)	0.375650152	0.38	0.38		T-test	Lung	Differentiation	FCC	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	0.42021640338319
score	Age[20,60)	Age[60,90)	0.058795134	0.059	0.059		T-test	Lung	Differentiation	FCPC	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	1.22914798835786
score	Age[20,60)	Age[60,90)	0.036954525	0.037	0.03695	*	T-test	Lung	Differentiation	iCAF	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	1.43179827593301
score	Age[20,60)	Fetal	2.06e-05	6.2e-05	2.10E-05	****	T-test	Lung	Differentiation	iCAF	Age[20,60)_Fetal	Lung | Age[20,60)_Fetal	4.20760831050175
score	Age[60,90)	Fetal	0.000221753	0.00044	0.00022	***	T-test	Lung	Differentiation	iCAF	Age[60,90)_Fetal	Lung | Age[60,90)_Fetal	3.35654732351381
score	Age[20,60)	Age[60,90)	0.348696456	0.35	0.35		T-test	Lung	Differentiation	MetFB	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	0.455931955649724
score	Age[20,60)	Age[60,90)	1.71e-06	3.4e-06	1.70E-06	****	T-test	Lung	Differentiation	myoCAF	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	5.46852108295774
score	Age[20,60)	Fetal	2.18e-09	6.5e-09	2.20E-09	****	T-test	Lung	Differentiation	myoCAF	Age[20,60)_Fetal	Lung | Age[20,60)_Fetal	8.18708664335714
score	Age[60,90)	Fetal	0.00167761	0.0017	0.0017	**	T-test	Lung	Differentiation	myoCAF	Age[60,90)_Fetal	Lung | Age[60,90)_Fetal	2.76955107862173
score	Age[20,60)	Age[60,90)	0.388843597	0.39	0.39		T-test	Lung	Differentiation	ProFB	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	0.408935392973501
score	Age[20,60)	Age[60,90)	0.138466691	0.14	0.14		T-test	Lung	Differentiation	UniFB	Age[20,60)_Age[60,90)	Lung | Age[20,60)_Age[60,90)	0.853871964321762
score	Age[60,90)	Fetal	0.403802999	0.4	0.4		T-test	Muscle	Differentiation	ActFB	Age[60,90)_Fetal	Muscle | Age[60,90)_Fetal	0.397940008672038
score	Age[20,60)	Age[60,90)	0.548944488	0.55	0.55		T-test	Muscle	Differentiation	apCAF	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	0.259637310505756
score	Age[20,60)	Fetal	8.1e-11	2.4e-10	8.10E-11	****	T-test	Muscle	Differentiation	apCAF	Age[20,60)_Fetal	Muscle | Age[20,60)_Fetal	9.61978875828839
score	Age[60,90)	Fetal	5.48e-10	1.1e-09	5.50E-10	****	T-test	Muscle	Differentiation	apCAF	Age[60,90)_Fetal	Muscle | Age[60,90)_Fetal	8.95860731484177
score	Age[20,60)	Age[60,90)	1.51e-12	4.5e-12	1.50E-12	****	T-test	Muscle	Differentiation	CycFB	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	11.3467874862247
score	Age[20,60)	Fetal	2.6e-10	5.2e-10	2.60E-10	****	T-test	Muscle	Differentiation	CycFB	Age[20,60)_Fetal	Muscle | Age[20,60)_Fetal	9.2839966563652
score	Age[60,90)	Fetal	0.00151937	0.0015	0.0015	**	T-test	Muscle	Differentiation	CycFB	Age[60,90)_Fetal	Muscle | Age[60,90)_Fetal	2.82390874094432
score	Age[20,60)	Age[60,90)	0.221757511	0.22	0.22		T-test	Muscle	Differentiation	CytFB	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	0.657577319177794
score	Age[20,60)	Age[60,90)	0.057038123	0.15	0.057		T-test	Muscle	Differentiation	DerFB	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	0.823908740944319
score	Age[20,60)	Fetal	0.04854146	0.15	0.049	*	T-test	Muscle	Differentiation	DerFB	Age[20,60)_Fetal	Muscle | Age[20,60)_Fetal	0.823908740944319
score	Age[60,90)	Fetal	0.955891118	0.96	0.956		T-test	Muscle	Differentiation	DerFB	Age[60,90)_Fetal	Muscle | Age[60,90)_Fetal	0.0177287669604316
score	Age[60,90)	Fetal	8.04e-05	8e-05	8.00E-05	****	T-test	Muscle	Differentiation	DevFB	Age[60,90)_Fetal	Muscle | Age[60,90)_Fetal	4.09691001300806
score	Age[20,60)	Age[60,90)	0.198575358	0.2	0.2		T-test	Muscle	Differentiation	FCC	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	0.698970004336019
score	Age[20,60)	Age[60,90)	9.89e-09	3e-08	9.90E-09	****	T-test	Muscle	Differentiation	FCPC	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	7.52287874528034
score	Age[20,60)	Fetal	0.149518205	0.3	0.15		T-test	Muscle	Differentiation	FCPC	Age[20,60)_Fetal	Muscle | Age[20,60)_Fetal	0.522878745280338
score	Age[60,90)	Fetal	0.498940976	0.5	0.5		T-test	Muscle	Differentiation	FCPC	Age[60,90)_Fetal	Muscle | Age[60,90)_Fetal	0.301029995663981
score	Age[20,60)	Age[60,90)	5.68e-296	1.7e-295	< 2e-16	****	T-test	Muscle	Differentiation	iCAF	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	294.769551078622
score	Age[20,60)	Fetal	4.81e-18	9.6e-18	< 2e-16	****	T-test	Muscle	Differentiation	iCAF	Age[20,60)_Fetal	Muscle | Age[20,60)_Fetal	17.0177287669604
score	Age[60,90)	Fetal	0.000791929	0.00079	0.00079	***	T-test	Muscle	Differentiation	iCAF	Age[60,90)_Fetal	Muscle | Age[60,90)_Fetal	3.10237290870956
score	Age[20,60)	Age[60,90)	0.309731466	0.31	0.31		T-test	Muscle	Differentiation	LipFB	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	0.508638306165727
score	Age[20,60)	Age[60,90)	0.036568482	0.037	0.037	*	T-test	Muscle	Differentiation	MetFB	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	1.43179827593301
score	Age[20,60)	Age[60,90)	2.04e-52	6.1e-52	< 2e-16	****	T-test	Muscle	Differentiation	myoCAF	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	51.2146701649892
score	Age[20,60)	Fetal	6.99e-07	7e-07	7.00E-07	****	T-test	Muscle	Differentiation	myoCAF	Age[20,60)_Fetal	Muscle | Age[20,60)_Fetal	6.15490195998574
score	Age[60,90)	Fetal	2.76e-10	5.5e-10	2.80E-10	****	T-test	Muscle	Differentiation	myoCAF	Age[60,90)_Fetal	Muscle | Age[60,90)_Fetal	9.25963731050576
score	Age[20,60)	Age[60,90)	4.18e-09	4.2e-09	4.20E-09	****	T-test	Muscle	Differentiation	ProFB	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	8.3767507096021
score	Age[20,60)	Age[60,90)	2.12e-38	2.1e-38	<2e-16	****	T-test	Muscle	Differentiation	UniFB	Age[20,60)_Age[60,90)	Muscle | Age[20,60)_Age[60,90)	37.6777807052661
score	Age[20,60)	Fetal	0.049421696	0.049	0.049	*	T-test	Pancreas	Differentiation	ActFB	Age[20,60)_Fetal	Pancreas | Age[20,60)_Fetal	1.30980391997149
score	Age[20,60)	Fetal	3.84e-17	3.8e-17	<2e-16	****	T-test	Pancreas	Differentiation	apCAF	Age[20,60)_Fetal	Pancreas | Age[20,60)_Fetal	16.4202164033832
score	Age[20,60)	Fetal	0.577443679	0.58	0.58		T-test	Pancreas	Differentiation	CycFB	Age[20,60)_Fetal	Pancreas | Age[20,60)_Fetal	0.236572006437063
score	Age[20,60)	Fetal	0.130827231	0.13	0.13		T-test	Pancreas	Differentiation	FCPC	Age[20,60)_Fetal	Pancreas | Age[20,60)_Fetal	0.886056647693163
score	Age[20,60)	Fetal	0.007845096	0.0078	0.0078	**	T-test	Pancreas	Differentiation	iCAF	Age[20,60)_Fetal	Pancreas | Age[20,60)_Fetal	2.10790539730952
score	Age[20,60)	Fetal	6.63e-08	6.6e-08	6.60E-08	****	T-test	Pancreas	Differentiation	myoCAF	Age[20,60)_Fetal	Pancreas | Age[20,60)_Fetal	7.18045606445813
score	Age[20,60)	Fetal	0.006697572	0.0067	0.0067	**	T-test	Pancreas	Differentiation	UniFB	Age[20,60)_Fetal	Pancreas | Age[20,60)_Fetal	2.17392519729917
score	Age[20,60)	Fetal	0.003398591	0.0034	0.0034	**	T-test	Skin	Differentiation	ActFB	Age[20,60)_Fetal	Skin | Age[20,60)_Fetal	2.46852108295775
score	Age[20,60)	Fetal	5.61e-26	5.6e-26	<2e-16	****	T-test	Skin	Differentiation	FCC	Age[20,60)_Fetal	Skin | Age[20,60)_Fetal	25.2518119729938
score	Age[20,60)	Fetal	5.48e-32	5.5e-32	<2e-16	****	T-test	Skin	Differentiation	FCPC	Age[20,60)_Fetal	Skin | Age[20,60)_Fetal	31.2596373105058
score	Age[20,60)	Fetal	0.018786741	0.019	0.019	*	T-test	Skin	Differentiation	iCAF	Age[20,60)_Fetal	Skin | Age[20,60)_Fetal	1.72124639904717
score	Age[20,60)	Fetal	0.011769758	0.012	0.012	*	T-test	Skin	Differentiation	myoCAF	Age[20,60)_Fetal	Skin | Age[20,60)_Fetal	1.92081875395238
score	Age[20,60)	Fetal	3.29e-06	3.3e-06	3.30E-06	****	T-test	Stomach	Differentiation	ActFB	Age[20,60)_Fetal	Stomach | Age[20,60)_Fetal	5.48148606012211
score	Age[20,60)	Fetal	0.284716096	0.28	0.28		T-test	Stomach	Differentiation	FCC	Age[20,60)_Fetal	Stomach | Age[20,60)_Fetal	0.552841968657781
score	Age[20,60)	Fetal	7.64e-14	7.6e-14	7.60E-14	****	T-test	Stomach	Differentiation	FCPC	Age[20,60)_Fetal	Stomach | Age[20,60)_Fetal	13.1191864077192
score	Age[20,60)	Age[60,90)	0.001943218	0.0039	0.0019	**	T-test	Stomach	Differentiation	iCAF	Age[20,60)_Age[60,90)	Stomach | Age[20,60)_Age[60,90)	2.4089353929735
score	Age[20,60)	Fetal	7.54e-25	2.3e-24	<2e-16	****	T-test	Stomach	Differentiation	iCAF	Age[20,60)_Fetal	Stomach | Age[20,60)_Fetal	23.6382721639824
score	Age[60,90)	Fetal	0.154335968	0.15	0.1543		T-test	Stomach	Differentiation	iCAF	Age[60,90)_Fetal	Stomach | Age[60,90)_Fetal	0.823908740944319
score	Age[20,60)	Age[60,90)	0.189442201	0.57	0.19		T-test	Stomach	Differentiation	UniFB	Age[20,60)_Age[60,90)	Stomach | Age[20,60)_Age[60,90)	0.244125144327509
score	Age[20,60)	Fetal	0.209859582	0.57	0.21		T-test	Stomach	Differentiation	UniFB	Age[20,60)_Fetal	Stomach | Age[20,60)_Fetal	0.244125144327509
score	Age[60,90)	Fetal	0.46268382	0.57	0.46		T-test	Stomach	Differentiation	UniFB	Age[60,90)_Fetal	Stomach | Age[60,90)_Fetal	0.244125144327509
score	Age[20,60)	Age[60,90)	0.255688105	0.26	0.26		T-test	Thymus	Differentiation	apCAF	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	0.585026652029182
score	Age[20,60)	Age[60,90)	0.134342698	0.13	0.13		T-test	Thymus	Differentiation	CytFB	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	0.886056647693163
score	Age[20,60)	Age[60,90)	0.448821515	0.45	0.45		T-test	Thymus	Differentiation	DevFB	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	0.346787486224656
score	Age[20,60)	Age[60,90)	0.014445729	0.014	0.014	*	T-test	Thymus	Differentiation	iCAF	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	1.85387196432176
score	Age[20,60)	Age[60,90)	8.82e-13	8.8e-13	8.80E-13	****	T-test	Thymus	Differentiation	LipFB	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	12.0555173278498
score	Age[20,60)	Age[60,90)	0.02934506	0.029	0.029	*	T-test	Thymus	Differentiation	MetFB	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	1.53760200210104
score	Age[20,60)	Age[60,90)	0.000136191	0.00014	0.00014	***	T-test	Thymus	Differentiation	myoCAF	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	3.85387196432176
score	Age[20,60)	Age[60,90)	7.98e-06	8e-06	8.00E-06	****	T-test	Thymus	Differentiation	ProFB	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	5.09691001300806
score	Age[20,60)	Age[60,90)	0.0140219	0.014	0.014	*	T-test	Thymus	Differentiation	UniFB	Age[20,60)_Age[60,90)	Thymus | Age[20,60)_Age[60,90)	1.85387196432176
