CellType	Trait	Intersection_count	p_value	Label	Log10_Pvalue
DerFB	VNR	49	1		0
DevFB	VNR	48	1		0
apCAF	VNR	80	6.08954656587349e-05	80	4.21541504419314
MetFB	VNR	47	1		0
EpiFB	VNR	54	0.822296757413955		0.0849714223031682
CytFB	VNR	56	0.822296757413955		0.0849714223031682
PapFB	VNR	57	0.822296757413955		0.0849714223031682
ProFB	VNR	50	0.940953624866243		0.0264317803570089
LipFB	VNR	47	1		0
FCPC	Worry	48	0.939024503263455		0.0273230749402123
myoCAF	Worry	51	0.939024503263455		0.0273230749402123
ActFB	Worry	46	0.939024503263455		0.0273230749402123
FCC	Worry	46	0.939024503263455		0.0273230749402123
iCAF	Worry	46	0.939024503263455		0.0273230749402123
UniFB	Worry	45	0.939024503263455		0.0273230749402123
CycFB	Worry	42	0.939024503263455		0.0273230749402123
DerFB	Worry	45	0.939024503263455		0.0273230749402123
DevFB	Worry	61	0.156364210678702		0.805862643113778
apCAF	Worry	81	4.0249125556915e-05	81	4.39524355057392
MetFB	Worry	48	0.939024503263455		0.0273230749402123
EpiFB	Worry	49	0.939024503263455		0.0273230749402123
CytFB	Worry	70	0.00781037689159593	70	2.10732800863345
PapFB	Worry	66	0.031234573538042	66	1.50536441932704
ProFB	Worry	52	0.939024503263455		0.0273230749402123
LipFB	Worry	53	0.939024503263455		0.0273230749402123
FCPC	ALT	62	0.0566919829111605		1.24647835245841
myoCAF	ALT	63	0.0429782260151385	63	1.36675151457134
ActFB	ALT	64	0.0324499868134274	64	1.4887854753461
FCC	ALT	58	0.123509682941877		0.908298993146183
iCAF	ALT	61	0.0625456842714809		1.20380265178582
UniFB	ALT	64	0.0324499868134274	64	1.4887854753461
CycFB	ALT	54	0.319781890213555		0.495146134720557
DerFB	ALT	64	0.0324499868134274	64	1.4887854753461
DevFB	ALT	64	0.0324499868134274	64	1.4887854753461
apCAF	ALT	76	0.000723664128294905	76	3.14046295462238
MetFB	ALT	59	0.10466520445249		0.980197673869224
EpiFB	ALT	58	0.123509682941877		0.908298993146183
CytFB	ALT	66	0.031234573538042	66	1.50536441932704
PapFB	ALT	59	0.10466520445249		0.980197673869224
ProFB	ALT	57	0.155642522280406		0.80787173980876
LipFB	ALT	68	0.0220837153031743	68	1.65592786029378
FCPC	ALP	63	0.102045569240089		0.991205847355108
myoCAF	ALP	60	0.111852219759578		0.951355392704856
ActFB	ALP	62	0.102045569240089		0.991205847355108
FCC	ALP	61	0.104242807119135		0.981953902169459
iCAF	ALP	62	0.102045569240089		0.991205847355108
UniFB	ALP	57	0.233463783420609		0.631780480753078
CycFB	ALP	55	0.365021990495061		0.437680970987425
DerFB	ALP	66	0.0937037206141259		1.02824316460737
DevFB	ALP	60	0.111852219759578		0.951355392704856
apCAF	ALP	43	0.592259185412485		0.227488195032345
MetFB	ALP	54	0.365465017386919		0.43715418774287
EpiFB	ALP	54	0.365465017386919		0.43715418774287
CytFB	ALP	54	0.365465017386919		0.43715418774287
PapFB	ALP	57	0.233463783420609		0.631780480753078
ProFB	ALP	53	0.426578687511673		0.370000846325154
LipFB	ALP	62	0.102045569240089		0.991205847355108
FCPC	TC	52	0.802376619363301		0.0956217348099732
myoCAF	TC	47	1		0
ActFB	TC	55	0.802376619363301		0.0956217348099732
FCC	TC	52	0.802376619363301		0.0956217348099732
iCAF	TC	51	0.802376619363301		0.0956217348099732
UniFB	TC	47	1		0
CycFB	TC	50	0.802376619363301		0.0956217348099732
DerFB	TC	56	0.802376619363301		0.0956217348099732
DevFB	TC	50	0.802376619363301		0.0956217348099732
apCAF	TC	50	0.802376619363301		0.0956217348099732
MetFB	TC	44	0.802376619363301		0.0956217348099732
EpiFB	TC	53	0.802376619363301		0.0956217348099732
CytFB	TC	51	0.802376619363301		0.0956217348099732
PapFB	TC	50	0.802376619363301		0.0956217348099732
ProFB	TC	44	0.802376619363301		0.0956217348099732
LipFB	TC	56	0.802376619363301		0.0956217348099732
FCPC	Glucose	43	1		0
myoCAF	Glucose	42	1		0
ActFB	Glucose	47	1		0
FCC	Glucose	43	1		0
iCAF	Glucose	45	1		0
UniFB	Glucose	44	1		0
CycFB	Glucose	53	1		0
DerFB	Glucose	47	1		0
DevFB	Glucose	48	1		0
apCAF	Glucose	66	0.0937037206141259		1.02824316460737
MetFB	Glucose	44	1		0
EpiFB	Glucose	47	1		0
CytFB	Glucose	53	1		0
PapFB	Glucose	54	1		0
ProFB	Glucose	48	1		0
LipFB	Glucose	55	1		0
FCPC	HbA1c	41	0.935410380668284		0.0289978148402377
myoCAF	HbA1c	43	0.935410380668284		0.0289978148402377
ActFB	HbA1c	46	0.939024503263455		0.0273230749402123
FCC	HbA1c	42	0.935410380668284		0.0289978148402377
iCAF	HbA1c	43	0.935410380668284		0.0289978148402377
UniFB	HbA1c	39	0.935410380668284		0.0289978148402377
CycFB	HbA1c	46	0.939024503263455		0.0273230749402123
DerFB	HbA1c	45	0.935410380668284		0.0289978148402377
DevFB	HbA1c	50	0.935410380668284		0.0289978148402377
apCAF	HbA1c	49	0.935410380668284		0.0289978148402377
MetFB	HbA1c	45	0.935410380668284		0.0289978148402377
EpiFB	HbA1c	37	0.935410380668284		0.0289978148402377
CytFB	HbA1c	45	0.935410380668284		0.0289978148402377
PapFB	HbA1c	44	0.935410380668284		0.0289978148402377
ProFB	HbA1c	39	0.935410380668284		0.0289978148402377
LipFB	HbA1c	55	0.935410380668284		0.0289978148402377
FCPC	HDL	54	0.647832177734628		0.188537484443278
myoCAF	HDL	52	0.647832177734628		0.188537484443278
ActFB	HDL	57	0.583659458551522		0.233840472081041
FCC	HDL	53	0.647832177734628		0.188537484443278
iCAF	HDL	48	0.878622323180772		0.0561977667990524
UniFB	HDL	54	0.647832177734628		0.188537484443278
CycFB	HDL	43	0.728934382046136		0.137311564683257
DerFB	HDL	58	0.583659458551522		0.233840472081041
DevFB	HDL	52	0.647832177734628		0.188537484443278
apCAF	HDL	57	0.583659458551522		0.233840472081041
MetFB	HDL	55	0.647832177734628		0.188537484443278
EpiFB	HDL	50	0.739320705252048		0.131167130877022
CytFB	HDL	52	0.647832177734628		0.188537484443278
PapFB	HDL	51	0.721908704482058		0.141517721608554
ProFB	HDL	48	0.878622323180772		0.0561977667990524
LipFB	HDL	59	0.583659458551522		0.233840472081041
FCPC	LDL	60	0.548165688852377		0.26108815159189
myoCAF	LDL	49	0.868631546802091		0.0611644020595844
ActFB	LDL	58	0.548165688852377		0.26108815159189
FCC	LDL	54	0.548165688852377		0.26108815159189
iCAF	LDL	57	0.548165688852377		0.26108815159189
UniFB	LDL	53	0.548165688852377		0.26108815159189
CycFB	LDL	52	0.548165688852377		0.26108815159189
DerFB	LDL	57	0.548165688852377		0.26108815159189
DevFB	LDL	54	0.548165688852377		0.26108815159189
apCAF	LDL	52	0.548165688852377		0.26108815159189
MetFB	LDL	46	1		0
EpiFB	LDL	53	0.548165688852377		0.26108815159189
CytFB	LDL	54	0.548165688852377		0.26108815159189
PapFB	LDL	54	0.548165688852377		0.26108815159189
ProFB	LDL	47	1		0
LipFB	LDL	54	0.548165688852377		0.26108815159189
FCPC	SHBG	61	0.125091368542962		0.902772656121834
myoCAF	SHBG	55	0.286802992531834		0.542416321507438
ActFB	SHBG	65	0.0736133838941431		1.1330432179595
FCC	SHBG	62	0.125091368542962		0.902772656121834
iCAF	SHBG	60	0.127831108296661		0.89336344572717
UniFB	SHBG	54	0.341100682894458		0.467117411120313
CycFB	SHBG	57	0.212239803109644		0.673173165911303
DerFB	SHBG	72	0.00651358756557293	72	2.18617974403128
DevFB	SHBG	62	0.125091368542962		0.902772656121834
apCAF	SHBG	58	0.192126173465142		0.71641346690727
MetFB	SHBG	55	0.286802992531834		0.542416321507438
EpiFB	SHBG	57	0.212239803109644		0.673173165911303
CytFB	SHBG	58	0.192126173465142		0.71641346690727
PapFB	SHBG	55	0.286802992531834		0.542416321507438
ProFB	SHBG	52	0.445384622192557		0.351264781940978
LipFB	SHBG	60	0.127831108296661		0.89336344572717
FCPC	TST	49	1		0
myoCAF	TST	47	1		0
ActFB	TST	50	1		0
FCC	TST	47	1		0
iCAF	TST	48	1		0
UniFB	TST	45	1		0
CycFB	TST	48	1		0
DerFB	TST	56	1		0
DevFB	TST	51	1		0
apCAF	TST	51	1		0
MetFB	TST	45	1		0
EpiFB	TST	47	1		0
CytFB	TST	54	1		0
PapFB	TST	53	1		0
ProFB	TST	44	1		0
LipFB	TST	56	1		0
FCPC	TBIL	54	0.393577711032067		0.404969504371469
myoCAF	TBIL	59	0.20933040890498		0.679167678205243
ActFB	TBIL	62	0.127556961550111		0.894295834347051
FCC	TBIL	54	0.393577711032067		0.404969504371469
iCAF	TBIL	53	0.445384622192557		0.351264781940978
UniFB	TBIL	52	0.445384622192557		0.351264781940978
CycFB	TBIL	58	0.216141945148285		0.665260944459888
DerFB	TBIL	64	0.114608602707036		0.940782782299061
DevFB	TBIL	54	0.393577711032067		0.404969504371469
apCAF	TBIL	56	0.309144285113986		0.509838777521571
MetFB	TBIL	58	0.216141945148285		0.665260944459888
EpiFB	TBIL	63	0.114608602707036		0.940782782299061
CytFB	TBIL	59	0.20933040890498		0.679167678205243
PapFB	TBIL	52	0.445384622192557		0.351264781940978
ProFB	TBIL	57	0.259404203800676		0.586022990192403
LipFB	TBIL	63	0.114608602707036		0.940782782299061
FCPC	TP	61	0.0481120648242161	61	1.31774600409265
myoCAF	TP	65	0.0210323953983266	65	1.67711126230977
ActFB	TP	62	0.0463843496545859	62	1.33362852817731
FCC	TP	60	0.0639155541483304		1.19439344139115
iCAF	TP	64	0.0283937384617489	64	1.54677742232379
UniFB	TP	67	0.0144692343526373	67	1.8395544492004
CycFB	TP	59	0.0784989033393677		1.10513641047752
DerFB	TP	62	0.0463843496545859	62	1.33362852817731
DevFB	TP	59	0.0784989033393677		1.10513641047752
apCAF	TP	69	0.00662060923189623	69	2.1791020447179
MetFB	TP	63	0.038202867569012	63	1.41790403701872
EpiFB	TP	66	0.015617286769021	66	1.80639441499102
CytFB	TP	73	0.00120465386760803	73	2.91913772070897
PapFB	TP	77	0.000373764359862813	77	3.42740211294342
ProFB	TP	61	0.0481120648242161	61	1.31774600409265
LipFB	TP	74	0.000990321894727287	74	3.00422361915852
FCPC	TG	60	0.125598245342988		0.9010164278216
myoCAF	TG	53	0.426578687511673		0.370000846325154
ActFB	TG	66	0.046851860307063	66	1.32927316027135
FCC	TG	59	0.125598245342988		0.9010164278216
iCAF	TG	56	0.257620237594988		0.589020023569196
UniFB	TG	59	0.125598245342988		0.9010164278216
CycFB	TG	51	0.541431528361543		0.266456458216854
DerFB	TG	63	0.0687651616242216		1.16263153191542
DevFB	TG	56	0.257620237594988		0.589020023569196
apCAF	TG	59	0.125598245342988		0.9010164278216
MetFB	TG	59	0.125598245342988		0.9010164278216
EpiFB	TG	54	0.365465017386919		0.43715418774287
CytFB	TG	65	0.0490755892627621	65	1.30913447701518
PapFB	TG	63	0.0687651616242216		1.16263153191542
ProFB	TG	55	0.308864761188129		0.510231638136037
LipFB	TG	71	0.0115655996136857	71	1.93683184649349
FCPC	EOS	65	0.0368066919470715	65	1.43407321362348
myoCAF	EOS	64	0.0454299815387983	64	1.34265743966787
ActFB	EOS	68	0.0220837153031743	68	1.65592786029378
FCC	EOS	63	0.057304301353518		1.24181277796304
iCAF	EOS	59	0.10466520445249		0.980197673869224
UniFB	EOS	62	0.0694952047460899		1.15804516122514
CycFB	EOS	55	0.250952618465354		0.600408268485125
DerFB	EOS	70	0.0156207537831919	70	1.80629801296947
DevFB	EOS	61	0.0694952047460899		1.15804516122514
apCAF	EOS	57	0.166759845300435		0.777908516431316
MetFB	EOS	61	0.0694952047460899		1.15804516122514
EpiFB	EOS	65	0.0368066919470715	65	1.43407321362348
CytFB	EOS	59	0.10466520445249		0.980197673869224
PapFB	EOS	59	0.10466520445249		0.980197673869224
ProFB	EOS	57	0.166759845300435		0.777908516431316
LipFB	EOS	56	0.206096190075991		0.685930036577252
FCPC	LYM	51	0.739320705252048		0.131167130877022
myoCAF	LYM	56	0.739320705252048		0.131167130877022
ActFB	LYM	51	0.739320705252048		0.131167130877022
FCC	LYM	52	0.739320705252048		0.131167130877022
iCAF	LYM	50	0.739320705252048		0.131167130877022
UniFB	LYM	57	0.739320705252048		0.131167130877022
CycFB	LYM	42	0.739320705252048		0.131167130877022
DerFB	LYM	50	0.739320705252048		0.131167130877022
DevFB	LYM	46	0.939024503263455		0.0273230749402123
apCAF	LYM	60	0.739320705252048		0.131167130877022
MetFB	LYM	53	0.739320705252048		0.131167130877022
EpiFB	LYM	48	0.937197144726156		0.0281690431988089
CytFB	LYM	55	0.739320705252048		0.131167130877022
PapFB	LYM	54	0.739320705252048		0.131167130877022
ProFB	LYM	50	0.739320705252048		0.131167130877022
LipFB	LYM	53	0.739320705252048		0.131167130877022
FCPC	MCH	50	0.862540822794056		0.0642203412464087
myoCAF	MCH	59	0.618288570227972		0.20880878185759
ActFB	MCH	57	0.618288570227972		0.20880878185759
FCC	MCH	51	0.862540822794056		0.0642203412464087
iCAF	MCH	45	0.878622323180772		0.0561977667990524
UniFB	MCH	53	0.799835039084386		0.0969995742614163
CycFB	MCH	53	0.799835039084386		0.0969995742614163
DerFB	MCH	48	0.878622323180772		0.0561977667990524
DevFB	MCH	54	0.799835039084386		0.0969995742614163
apCAF	MCH	51	0.862540822794056		0.0642203412464087
MetFB	MCH	48	0.878622323180772		0.0561977667990524
EpiFB	MCH	48	0.878622323180772		0.0561977667990524
CytFB	MCH	56	0.618288570227972		0.20880878185759
PapFB	MCH	57	0.618288570227972		0.20880878185759
ProFB	MCH	50	0.862540822794056		0.0642203412464087
LipFB	MCH	56	0.618288570227972		0.20880878185759
FCPC	MONO	40	1		0
myoCAF	MONO	47	1		0
ActFB	MONO	44	1		0
FCC	MONO	43	1		0
iCAF	MONO	46	1		0
UniFB	MONO	49	1		0
CycFB	MONO	40	1		0
DerFB	MONO	49	1		0
DevFB	MONO	47	1		0
apCAF	MONO	60	0.894817758076625		0.0482654057129128
MetFB	MONO	54	1		0
EpiFB	MONO	46	1		0
CytFB	MONO	54	1		0
PapFB	MONO	49	1		0
ProFB	MONO	50	1		0
LipFB	MONO	52	1		0
FCPC	PLT	58	0.192126173465142		0.71641346690727
myoCAF	PLT	76	0.000723664128294905	76	3.14046295462238
ActFB	PLT	63	0.085956452030277		1.06572151890736
FCC	PLT	56	0.257620237594988		0.589020023569196
iCAF	PLT	59	0.156997806678735		0.804106414813543
UniFB	PLT	62	0.102045569240089		0.991205847355108
CycFB	PLT	59	0.156997806678735		0.804106414813543
DerFB	PLT	61	0.104242807119135		0.981953902169459
DevFB	PLT	67	0.0361730858815931	67	1.44161444052836
apCAF	PLT	51	0.577526963585646		0.23842773461661
MetFB	PLT	57	0.233463783420609		0.631780480753078
EpiFB	PLT	63	0.085956452030277		1.06572151890736
CytFB	PLT	54	0.365465017386919		0.43715418774287
PapFB	PLT	54	0.365465017386919		0.43715418774287
ProFB	PLT	45	0.818484083084748		0.0869897618179245
LipFB	PLT	56	0.257620237594988		0.589020023569196
FCPC	RDW	54	0.647832177734628		0.188537484443278
myoCAF	RDW	59	0.418660817809961		0.378137682541262
ActFB	RDW	53	0.647832177734628		0.188537484443278
FCC	RDW	52	0.647832177734628		0.188537484443278
iCAF	RDW	53	0.647832177734628		0.188537484443278
UniFB	RDW	51	0.666377265675746		0.176279827867765
CycFB	RDW	59	0.418660817809961		0.378137682541262
DerFB	RDW	54	0.647832177734628		0.188537484443278
DevFB	RDW	57	0.583659458551522		0.233840472081041
apCAF	RDW	42	0.654724233780319		0.183941583925585
MetFB	RDW	49	0.810722777015285		0.0911276254370276
EpiFB	RDW	54	0.647832177734628		0.188537484443278
CytFB	RDW	49	0.810722777015285		0.0911276254370276
PapFB	RDW	52	0.647832177734628		0.188537484443278
ProFB	RDW	48	0.878622323180772		0.0561977667990524
LipFB	RDW	59	0.418660817809961		0.378137682541262
FCPC	RBC	48	1		0
myoCAF	RBC	52	0.890769244385113		0.0502347862769968
ActFB	RBC	56	0.803048379089134		0.0952582901652191
FCC	RBC	53	0.890769244385113		0.0502347862769968
iCAF	RBC	45	1		0
UniFB	RBC	49	1		0
CycFB	RBC	53	0.890769244385113		0.0502347862769968
DerFB	RBC	45	1		0
DevFB	RBC	47	1		0
apCAF	RBC	55	0.803048379089134		0.0952582901652191
MetFB	RBC	47	1		0
EpiFB	RBC	50	1		0
CytFB	RBC	59	0.803048379089134		0.0952582901652191
PapFB	RBC	55	0.803048379089134		0.0952582901652191
ProFB	RBC	43	1		0
LipFB	RBC	56	0.803048379089134		0.0952582901652191
FCPC	WBC	66	0.046851860307063	66	1.32927316027135
myoCAF	WBC	61	0.125091368542962		0.902772656121834
ActFB	WBC	61	0.125091368542962		0.902772656121834
FCC	WBC	64	0.0757166358979972		1.12080869005151
iCAF	WBC	58	0.172913556118628		0.762170957467945
UniFB	WBC	59	0.139553605936654		0.855258937260925
CycFB	WBC	53	0.457048593762506		0.340037622947711
DerFB	WBC	55	0.334603491287139		0.475469531876825
DevFB	WBC	59	0.139553605936654		0.855258937260925
apCAF	WBC	67	0.046851860307063	67	1.32927316027135
MetFB	WBC	57	0.212239803109644		0.673173165911303
EpiFB	WBC	60	0.127831108296661		0.89336344572717
CytFB	WBC	54	0.393577711032067		0.404969504371469
PapFB	WBC	60	0.127831108296661		0.89336344572717
ProFB	WBC	49	0.760052603451829		0.119156349037271
LipFB	WBC	51	0.577526963585646		0.23842773461661
FCPC	BMD.HT	56	0.237803296241528		0.623782129828408
myoCAF	BMD.HT	70	0.00260345896386531	70	2.58444926335311
ActFB	BMD.HT	62	0.0510227846200444		1.29223584301909
FCC	BMD.HT	56	0.237803296241528		0.623782129828408
iCAF	BMD.HT	55	0.286802992531834		0.542416321507438
UniFB	BMD.HT	62	0.0510227846200444		1.29223584301909
CycFB	BMD.HT	54	0.319781890213555		0.495146134720557
DerFB	BMD.HT	54	0.319781890213555		0.495146134720557
DevFB	BMD.HT	57	0.212239803109644		0.673173165911303
apCAF	BMD.HT	98	1.07114774998692e-10	98	5
MetFB	BMD.HT	67	0.0103351673947409	67	1.98568248487863
EpiFB	BMD.HT	65	0.0184033459735358	65	1.73510320928746
CytFB	BMD.HT	76	0.000241221376098302	76	3.61758420934204
PapFB	BMD.HT	78	0.000127710348346034	78	3.89377391050878
ProFB	BMD.HT	73	0.00072279232056482	73	3.14098647032533
LipFB	BMD.HT	73	0.00072279232056482	73	3.14098647032533
FCPC	Balding	54	0.341100682894458		0.467117411120313
myoCAF	Balding	59	0.139553605936654		0.855258937260925
ActFB	Balding	56	0.237803296241528		0.623782129828408
FCC	Balding	55	0.286802992531834		0.542416321507438
iCAF	Balding	57	0.194553152850507		0.710961726800703
UniFB	Balding	61	0.0781821053393512		1.10689263877776
CycFB	Balding	52	0.445384622192557		0.351264781940978
DerFB	Balding	58	0.172913556118628		0.762170957467945
DevFB	Balding	57	0.194553152850507		0.710961726800703
apCAF	Balding	109	4.10083781673418e-15	109	5
MetFB	Balding	69	0.00441373948793082	69	2.35519330377358
EpiFB	Balding	66	0.013386245802018	66	1.87334120462163
CytFB	Balding	85	7.85700636858826e-07	85	5
PapFB	Balding	77	9.34410899657033e-05	77	4.02946210427138
ProFB	Balding	71	0.00231311992273715	71	2.63580185082951
LipFB	Balding	85	7.85700636858826e-07	85	5
FCPC	BMI	39	0.393797820330204		0.404726692009948
myoCAF	BMI	54	0.511651024341687		0.291026152064632
ActFB	BMI	46	1		0
FCC	BMI	36	0.210708914213216		0.676317090819437
iCAF	BMI	36	0.210708914213216		0.676317090819437
UniFB	BMI	33	0.106239130785842		0.973715491218309
CycFB	BMI	38	0.337532761737313		0.471684067125708
DerFB	BMI	45	1		0
DevFB	BMI	47	1		0
apCAF	BMI	99	3.60872740058245e-11	99	5
MetFB	BMI	47	1		0
EpiFB	BMI	52	0.593846162923409		0.226326045332678
CytFB	BMI	66	0.046851860307063	66	1.32927316027135
PapFB	BMI	65	0.0490755892627621	65	1.30913447701518
ProFB	BMI	53	0.58169821024319		0.235302272427698
LipFB	BMI	60	0.178963551615325		0.747235410048932
FCPC	Height	58	0.123509682941877		0.908298993146183
myoCAF	Height	64	0.0227149907693992	64	1.64368743533185
ActFB	Height	68	0.00630963294376408	68	2.19999590464406
FCC	Height	57	0.155642522280406		0.80787173980876
